Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-01-25 00:02:13,2025-01-26 00:03:52,UTC+01:00,2025-01-25 09:05:31,2025-01-25 10:04:43,59,Weightlifting,6.5,228.0,152,106,57,2,0,0,0,false,,,
2025-01-24 00:49:11,2025-01-25 00:02:13,UTC+01:00,2025-01-24 07:09:11,2025-01-24 07:56:01,46,Running,14.4,612.0,187,153,7,12,33,41,4,false,,,
2025-01-22 00:24:08,2025-01-23 00:04:01,UTC+01:00,2025-01-22 06:49:11,2025-01-22 07:57:22,68,Weightlifting,8.2,319.0,163,109,16,12,4,0,0,false,,,
2025-01-20 23:52:20,2025-01-22 00:24:08,UTC+01:00,2025-01-21 07:17:08,2025-01-21 08:02:24,45,Running,12.8,527.0,165,146,16,30,53,0,0,false,,,
2025-01-19 01:45:51,2025-01-20 00:25:36,UTC+01:00,2025-01-19 11:23:06,2025-01-19 12:36:31,73,Running,17.0,1022.0,177,158,0,5,75,20,0,false,,,
2025-01-18 00:32:20,2025-01-19 01:45:51,UTC+01:00,2025-01-18 10:05:40,2025-01-18 11:47:38,101,Weightlifting,9.0,380.0,176,104,13,4,4,0,0,false,,,
2025-01-17 00:45:19,2025-01-18 00:32:20,UTC+01:00,2025-01-17 07:14:43,2025-01-17 08:02:59,48,Running,14.6,645.0,180,155,3,19,53,25,0,false,,,
2025-01-16 00:57:36,2025-01-17 00:45:19,UTC+01:00,2025-01-16 07:14:45,2025-01-16 08:11:48,57,Running,14.1,681.0,178,148,6,21,61,8,0,false,,,
2025-01-14 23:39:08,2025-01-16 00:57:36,UTC+01:00,2025-01-15 07:37:31,2025-01-15 08:32:32,55,Running,16.0,790.0,182,160,0,5,53,42,0,false,,,
2025-01-14 23:39:08,2025-01-16 00:57:36,UTC+01:00,2025-01-15 06:39:48,2025-01-15 07:33:10,53,Weightlifting,5.0,117.0,140,93,7,0,0,0,0,false,,,
2025-01-14 00:08:26,2025-01-14 23:39:08,UTC+01:00,2025-01-14 07:09:40,2025-01-14 07:48:44,39,Weightlifting,5.5,130.0,150,104,13,3,0,0,0,false,,,
2025-01-12 00:17:36,2025-01-12 23:42:43,UTC+01:00,2025-01-12 11:58:54,2025-01-12 13:20:18,81,Running,19.0,1291.0,179,167,0,0,15,85,0,false,,,
2025-01-12 00:17:36,2025-01-12 23:42:43,UTC+01:00,2025-01-12 11:52:40,2025-01-12 11:58:08,5,Running,4.9,46.0,162,131,32,24,24,0,0,false,,,
2025-01-12 00:17:36,2025-01-12 23:42:43,UTC+01:00,2025-01-12 11:15:46,2025-01-12 11:30:42,14,Weightlifting,4.1,23.0,117,88,0,0,0,0,0,false,,,
2025-01-10 23:55:02,2025-01-12 00:17:36,UTC+01:00,2025-01-11 10:14:40,2025-01-11 11:06:54,52,Running,13.6,630.0,175,149,8,31,53,6,0,false,,,
2025-01-10 23:55:02,2025-01-12 00:17:36,UTC+01:00,2025-01-11 09:03:40,2025-01-11 09:59:19,55,Weightlifting,7.0,251.0,161,109,24,10,1,0,0,false,,,
2025-01-10 00:18:08,2025-01-10 23:55:02,UTC+01:00,2025-01-10 06:41:49,2025-01-10 07:46:47,64,Running,15.1,799.0,184,150,6,25,46,18,2,false,,,
2025-01-10 00:18:08,2025-01-10 23:55:02,UTC+01:00,2025-01-10 06:18:25,2025-01-10 06:35:54,17,Weightlifting,4.0,22.0,113,82,0,0,0,0,0,false,,,
2025-01-08 00:33:20,2025-01-09 00:34:12,UTC+01:00,2025-01-08 20:37:34,2025-01-08 21:29:14,51,Running,,,,,,,,,,false,,,
2025-01-08 00:33:20,2025-01-09 00:34:12,UTC+01:00,2025-01-08 06:40:18,2025-01-08 07:36:49,56,Weightlifting,4.6,91.0,144,90,7,0,0,0,0,false,,,
2025-01-06 01:22:30,2025-01-06 23:35:55,UTC+01:00,2025-01-06 10:36:45,2025-01-06 12:33:48,117,Running,19.7,1693.0,182,160,0,6,44,49,1,false,,,
2025-01-06 01:22:30,2025-01-06 23:35:55,UTC+01:00,2025-01-06 09:54:20,2025-01-06 10:05:13,10,Weightlifting,0.0,12.0,98,82,0,0,0,0,0,false,,,
2025-01-04 00:53:21,2025-01-05 00:31:49,UTCZ,2025-01-04 08:47:51,2025-01-04 09:47:54,60,Running,16.5,868.0,183,160,0,7,42,48,3,false,,,
2025-01-01 22:31:10,2025-01-03 00:00:00,UTCZ,2025-01-02 08:14:02,2025-01-02 09:12:52,58,Running,17.1,894.0,183,164,0,2,32,59,7,false,,,
2025-01-01 22:31:10,2025-01-03 00:00:00,UTCZ,2025-01-02 07:54:43,2025-01-02 08:12:22,17,Weightlifting,2.6,20.0,115,79,0,0,0,0,0,false,,,
2025-01-01 02:18:12,2025-01-01 23:31:10,UTC+01:00,2025-01-01 10:46:47,2025-01-01 11:03:24,16,Weightlifting,0.0,19.0,100,81,0,0,0,0,0,false,,,
2024-12-31 01:14:59,2025-01-01 02:18:12,UTC+01:00,2024-12-31 17:16:40,2024-12-31 17:57:12,40,Running,4.1,50.0,118,91,0,0,0,0,0,false,,,
2024-12-31 01:14:59,2025-01-01 02:18:12,UTC+01:00,2024-12-31 16:16:30,2024-12-31 16:58:29,41,Running,12.9,517.0,176,150,2,36,49,13,0,false,,,
2024-12-30 00:29:56,2024-12-31 01:14:59,UTC+01:00,2024-12-30 10:33:00,2024-12-30 11:49:29,76,Weightlifting,6.0,191.0,139,99,8,0,0,0,0,false,,,
2024-12-28 00:03:06,2024-12-29 00:38:33,UTC+01:00,2024-12-28 10:16:48,2024-12-28 11:01:49,45,Cycling,,,,,,,,,,false,,,
2024-12-28 00:03:06,2024-12-29 00:38:33,UTC+01:00,2024-12-28 10:00:17,2024-12-28 10:15:33,15,Weightlifting,,,,,,,,,,false,,,
2024-12-27 00:06:37,2024-12-28 00:03:06,UTC+01:00,2024-12-27 17:13:02,2024-12-27 18:08:04,55,Cycling,0.6,54.0,115,79,0,0,0,0,0,false,,,
2024-12-27 00:06:37,2024-12-28 00:03:06,UTC+01:00,2024-12-27 16:19:30,2024-12-27 17:02:59,43,Spin,7.7,297.0,141,123,57,4,0,0,0,false,,,
2024-12-26 00:14:38,2024-12-27 00:06:37,UTC+01:00,2024-12-26 14:22:31,2024-12-26 14:54:54,32,Cycling,4.1,48.0,118,77,0,0,0,0,0,false,,,
2024-12-26 00:14:38,2024-12-27 00:06:37,UTC+01:00,2024-12-26 13:25:30,2024-12-26 13:55:29,29,Spin,6.6,212.0,132,124,89,0,0,0,0,false,,,
2024-12-25 00:44:43,2024-12-26 00:14:38,UTC+01:00,2024-12-25 19:03:00,2024-12-25 19:41:59,38,Weightlifting,4.6,72.0,124,95,0,0,0,0,0,false,,,
2024-12-23 23:50:44,2024-12-25 00:44:43,UTC+01:00,2024-12-24 17:21:00,2024-12-24 18:23:59,62,Spin,8.3,371.0,156,118,32,3,0,0,0,false,,,
