date,training_load,totalDistanceMeters,floorsAscendedInMeters,sleepingSeconds,bodyBatteryMostRecentValue,averageStressLevel,restingHeartRate,maxHeartRate,intensityMinutes,activeKilocalories,totalSteps,floorsAscended,5K_prediction,10K_prediction,HalfMarathon_prediction,Marathon_prediction,sleep_score,CTL,ATL,TSB
2024-04-17,167.12625122070312,15988.0,90.721,21660.0,13.0,34.0,48.0,170.0,0.0,833.0,15660.0,29.76411,0:19,0:41,1:34,3:39,78.0,66.6,104.9,-38.3
2024-04-18,0.0,4007.0,4.571,25080.0,17.0,34.0,50.0,112.0,0.0,205.0,5120.0,1.49967,0:19,0:41,1:34,3:39,75.0,65.0,90.9,-25.9
2024-04-19,0.0,4393.0,15.493,27120.0,29.0,25.0,48.0,114.0,0.0,186.0,5613.0,5.08301,0:19,0:41,1:34,3:39,79.0,63.5,78.8,-15.3
2024-04-20,175.36045837402344,16949.0,82.848,24900.0,13.0,35.0,50.0,164.0,0.0,917.0,16506.0,27.1811,0:19,0:41,1:34,3:38,87.0,66.1,91.7,-25.6
2024-04-21,149.671142578125,19413.0,231.648,26040.0,21.0,30.0,51.0,159.0,0.0,1037.0,19853.0,76.0,0:19,0:41,1:34,3:38,84.0,68.1,99.4,-31.3
2024-04-22,0.0,4179.0,8.033,26340.0,43.0,18.0,47.0,98.0,0.0,131.0,5318.0,2.6355,0,0,0,0,86.0,66.5,86.2,-19.7
2024-04-23,8.2960205078125,3333.0,13.909,21960.0,33.0,25.0,50.0,127.0,0.0,277.0,4192.0,4.56332,0:19,0:41,1:34,3:38,75.0,65.1,75.8,-10.7
2024-04-24,181.4550018310547,19415.0,107.524,22380.0,16.0,35.0,46.0,170.0,0.0,1061.0,18817.0,35.2769,0:19,0:41,1:34,3:38,77.0,67.8,89.9,-22.0
2024-04-25,160.75027465820312,15699.0,70.104,24300.0,22.0,28.0,46.0,179.0,0.0,796.0,16440.0,23.0,0:19,0:41,1:34,3:38,83.0,70.0,99.3,-29.3
2024-04-26,187.13926696777344,14718.0,73.578,27180.0,19.0,32.0,52.0,180.0,0.0,852.0,14044.0,24.13976,0:19,0:41,1:34,3:38,68.0,72.8,111.0,-38.2
2024-04-27,20.739288330078125,6969.0,18.383,28560.0,9.0,38.0,50.0,141.0,0.0,783.0,8894.0,6.03117,0:19,0:41,1:34,3:38,88.0,71.6,99.0,-27.4
2024-04-28,229.67483520507807,21330.0,176.784,28200.0,23.0,32.0,52.0,177.0,0.0,1262.0,19933.0,58.0,0:19,0:41,1:34,3:37,74.0,75.3,116.4,-41.1
2024-04-29,0.0,3278.0,12.704,23640.0,10.0,37.0,51.0,109.0,0.0,151.0,4188.0,4.16798,0:19,0:41,1:34,3:37,74.0,73.5,100.9,-27.4
2024-04-30,0.0,1103.0,0.0,28850.0,5.0,53.0,53.0,114.0,0.0,133.0,1409.0,0.0,0:19,0:41,1:34,3:37,43.0,71.8,87.5,-15.7
2024-05-01,44.54537963867188,7679.0,21.336,31320.0,5.0,44.0,54.0,134.0,0.0,667.0,8789.0,7.0,0:19,0:41,1:34,3:38,62.0,71.1,81.7,-10.6
2024-05-02,131.0504608154297,16569.0,323.114,27960.0,7.0,38.0,54.0,156.0,0.0,1121.0,17582.0,106.00853,0:19,0:41,1:33,3:37,46.0,72.5,88.3,-15.8
2024-05-03,220.6368865966797,16944.0,354.327,23220.0,10.0,29.0,53.0,175.0,0.0,1140.0,17213.0,116.24902,0:19,0:41,1:33,3:37,77.0,76.0,105.9,-29.9
2024-05-04,14.3780517578125,5793.0,33.796,24240.0,6.0,37.0,56.0,125.0,0.0,627.0,7131.0,11.08793,0:19,0:41,1:33,3:37,41.0,74.6,93.7,-19.2
2024-05-05,297.61798095703125,20273.0,346.267,29640.0,5.0,42.0,51.0,187.0,0.0,1470.0,19643.0,113.60466,0:19,0:41,1:33,3:37,90.0,79.8,120.9,-41.0
2024-05-06,0.0,2533.0,6.096,26291.0,22.0,31.0,53.0,110.0,0.0,151.0,3237.0,2.0,0:19,0:41,1:33,3:37,55.0,78.0,104.8,-26.8
2024-05-07,8.87646484375,3874.0,6.096,23735.0,12.0,33.0,50.0,119.0,0.0,324.0,4917.0,2.0,0:19,0:41,1:33,3:37,76.0,76.3,92.0,-15.7
